,vidid,title,tmblink,views,channelName,channelSubs,channelTotalViews
0,eQ_8F4nzyiw,Building a PC... using only Wish.com,https://i.ytimg.com/vi/eQ_8F4nzyiw/hqdefault.jpg,22874003,Linus Tech Tips,15400000,7271836145
1,lEaPQ7YrWQg,The Absolute Fastest Gaming Computer - Splave PC,https://i.ytimg.com/vi/lEaPQ7YrWQg/hqdefault.jpg,3915395,Linus Tech Tips,15400000,7271836145
2,J1z4XqEkSEU,You Don't Need a Graphics Card! - Cloud gaming,https://i.ytimg.com/vi/J1z4XqEkSEU/hqdefault.jpg,2918736,Linus Tech Tips,15400000,7271836145
3,8Xanr4jkmEc,Bring your video card back from the dead! - Oven method,https://i.ytimg.com/vi/8Xanr4jkmEc/hqdefault.jpg,2344280,Linus Tech Tips,15400000,7271836145
4,bnEPBcCkM2Y,Nvidia’s New SUPER Cards! - RTX 2060 & 2070 SUPER Review,https://i.ytimg.com/vi/bnEPBcCkM2Y/hqdefault.jpg,1960294,Linus Tech Tips,15400000,7271836145
5,2x3VsHpvFC4,Florida Man Builds a Computer - ROG Rig Reboot 2021,https://i.ytimg.com/vi/2x3VsHpvFC4/hqdefault.jpg,1635000,Linus Tech Tips,15400000,7271836145
6,qDLQ7FjPMf8,Video Card Thermal Compound Upgrade - Secret to Better GPU Performance?,https://i.ytimg.com/vi/qDLQ7FjPMf8/hqdefault.jpg,1369198,Linus Tech Tips,15400000,7271836145
7,cxW75UljJ48,This Mac Studio upgrade is super easy! #SHORTS,https://i.ytimg.com/vi/cxW75UljJ48/hqdefault.jpg,1083197,Linus Tech Tips,15400000,7271836145
8,fyuxWDkLdcI,Recycling Your Electronics – What you Need to Know,https://i.ytimg.com/vi/fyuxWDkLdcI/hqdefault.jpg,803189,Linus Tech Tips,15400000,7271836145
9,2K5uWT8h6EQ,Grand Theft Auto V PC - Video Card Showdown,https://i.ytimg.com/vi/2K5uWT8h6EQ/hqdefault.jpg,604973,Linus Tech Tips,15400000,7271836145
10,uechD2E7f68,"HANDS ON AMD RYZEN & DELL 8K MONITOR - WAN Show January 6, 2017",https://i.ytimg.com/vi/uechD2E7f68/hqdefault.jpg,452530,Linus Tech Tips,15400000,7271836145
11,-2O_e3pACFY,AMD Radeon R7 260X Unboxing & Review,https://i.ytimg.com/vi/-2O_e3pACFY/hqdefault.jpg,331545,Linus Tech Tips,15400000,7271836145
12,vaxBmTTTWMo,Seagate SSHD Hybrid Drive Unboxing & Technology Explanation,https://i.ytimg.com/vi/vaxBmTTTWMo/hqdefault.jpg,236620,Linus Tech Tips,15400000,7271836145
13,VVNr15CTPMk,Virtuix Omni & Oculus Test Drive - Linus & Slick Virtual Reality Virgins,https://i.ytimg.com/vi/VVNr15CTPMk/hqdefault.jpg,153240,Linus Tech Tips,15400000,7271836145
14,zv1UpwSN_Pc,MSI Z77A-GD65 GAMING Motherboard Unboxing & Overview,https://i.ytimg.com/vi/zv1UpwSN_Pc/hqdefault.jpg,105128,Linus Tech Tips,15400000,7271836145
15,A9Hz2HRPQ6g,Razer Edge Gaming Windows 8 Tablet with GT 640M Graphics - Linus Tech Tips CES 2013,https://i.ytimg.com/vi/A9Hz2HRPQ6g/hqdefault.jpg,72152,Linus Tech Tips,15400000,7271836145
16,Gb0f_jDZQgg,Func 1030 XL Gaming Mouse Pad Unboxing & Sneak Peek,https://i.ytimg.com/vi/Gb0f_jDZQgg/hqdefault.jpg,51302,Linus Tech Tips,15400000,7271836145
17,B4cOdabDiYU,Gigabyte X79-UD5 LGA2011 SB-E SLI Motherboard Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/B4cOdabDiYU/hqdefault.jpg,35433,Linus Tech Tips,15400000,7271836145
18,CjD9-PBRlSg,Gigabyte MIB T3140 Monitor Integrated Box & H55N-USB3 Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/CjD9-PBRlSg/hqdefault.jpg,23885,Linus Tech Tips,15400000,7271836145
19,ibKpofiVg4Y,Samsung CLP-310N Colour Network Laser Printer Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/ibKpofiVg4Y/hqdefault.jpg,2907,Linus Tech Tips,15400000,7271836145
20,Q6vVuj3iggE,SKIN A WATERMELON party trick,https://i.ytimg.com/vi/Q6vVuj3iggE/hqdefault.jpg,135298079,Mark Rober,24700000,3693806616
21,edRloa1ZHqY,1500 Water Balloons + Trampoline- SLO MO!!,https://i.ytimg.com/vi/edRloa1ZHqY/hqdefault.jpg,89386245,Mark Rober,24700000,3693806616
22,vePc5V4h_kg,Shark Attack Test- Human Blood vs. Fish Blood,https://i.ytimg.com/vi/vePc5V4h_kg/hqdefault.jpg,75572064,Mark Rober,24700000,3693806616
23,-k-V3ESHcfA,Feeding Bill Gates a Fake Burger (to save the world),https://i.ytimg.com/vi/-k-V3ESHcfA/hqdefault.jpg,57430080,Mark Rober,24700000,3693806616
24,8HEfIJlcFbs,World Record Domino Robot (100k dominoes in 24hrs),https://i.ytimg.com/vi/8HEfIJlcFbs/hqdefault.jpg,49017954,Mark Rober,24700000,3693806616
